ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),판단내부저자(인물),작업자,추정상태,추정근거,근거 원문,비고
,김기림,read,무기와 인간,3,「무기와 인간」 단평 (1),,정성훈,Presumed,劇硏의舞臺는 나에게는 全然첫對面이엿스며 더욱이上演되는脚本이 『쇼-』의 『武器와人間』인ᄭᅡ닭에 開幕을기다리는 나의興味는 二重으로큰것이엿다 웨그러냐하면 舞臺를 一種의討論場처럼생각하고 登場人物로하여곰 制限업시 길게作者의思想을 함부로말하게하며 ᄯᅩ한 그思想이類에드물게 『씨니칼』하고 逆說的인것으로 有名한 『쇼-』를 劇硏은 果然어느程度ᄭᅡ지 그實驗的 舞臺우에서 살릴수잇스며 어느程度ᄭᅡ지의 舞臺效果를 거둘것인가하는好奇心으로부터서엿다,,
,김기림,criticize,백철,2,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Confirmed,『칼버-튼』과 우리들의白鐵氏와는 그批評의 基調가되는 方法論에있어서觀念的으로 매우接近한것이라고 생각되는데 그方法論을 批評속에 具體的으로 應用하는 態度 그것에있어서는 混同할수없는差異가 있다고 생각한다. 『칼버-튼』의 態度는적어도 立體的인것처름 보이고 白鐵氏의그것은 平面的인것처름보인다. 尤大한同伴者作家(傾向的으로만)의 一覽表를 맨든다던지 『全面的』으로 肯定또는否定해버리는 그러한 單純한態度는 認識上매우 鮮明하기는하나 이윽고 作家들은(無名作家까지가)戶籍簿와가튼 批評속에서問題되는것을 決코榮光으로생각지안토록 이種類의批評에대하야 不感性이되지나안을가. 그때는 벌서그批評으로서의 生命이 消滅되여버리는때다.,,
,김기림,read,V. F. 캘버튼,5,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Confirmed,最近(너무느진듯한늣김이있으나)『칼버-튼』의論文集을 읽고 나는 이『아메리카』의 젊은批評家의 古典에대한 非常한理解와 決코 輕薄에흐르지안는 그沈着性에 嘆服한일이있다. 『칼버-튼』과 우리들의白鐵氏와는 그批評의 基調가되는 方法論에있어서觀念的으로 매우接近한것이라고 생각되는데 그方法論을 批評속에 具體的으로 應用하는 態度 그것에있어서는 混同할수없는差異가 있다고 생각한다. 『칼버-튼』의 態度는적어도 立體的인것처름 보이고 白鐵氏의그것은 平面的인것처름보인다.,,
,김기림,cite,문학비평의 원리,5,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Presumed,"『A, 리촤-드』는批評家에關하야 『그는價値에대한 健全한 批評者가 아니면아니된다』고 말하엿다. 批評家의 이機能은 그가 社會的인立場에섯던 또는 文學的인 立場에섯던間에 正當한것이라고 생각한다. (중략) 나는 區々한나의辨明을 느러노키前에 다시한번 리촤-드를 引用하는것이 便하리라고 생각한다. 그는 조흔批評家의資格의하나로서 『그가判斷하면서있는作品에關한 마음의 狀態를 個人的인 偏癖없이 經驗하는일에있어서 達人이아니면 아니된다』라고 規定하엿다.","The qualifications of a good critic are three. He must be an adept at experiencing, without eccentricities, the state of mind relevant to the work of art he is judging. Secondly, he must be able to distinguish experiences from one another as regards their less superficial features. Thirdly, he must be a sound judge of values.",
,김기림,criticize,신춘문예평(백철),1,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Confirmed,그런데 新東亞三月號誌上에 新春文藝評에있어서 白鐵氏가 詩를取扱하엿으며 더욱이 論文의劈頭에 그것을優待한 것은 氏의 高尙한 趣味로부터나온 일이라고 解釋하련다. (중략) 그런데 이詩評에서도 白氏는 例의『全面的否定』의 態度를 露骨하게 보여주엇다. 『全面的』이라는말은 白氏가 가장愛用하는 말가운데 한말이다. 그리고 이말처름 科學과 먼말은없다.,,
,김기림,cite,로맹 롤랑,4,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Presumed,科學이그 一面에 一樣化의傾向을 强烈하게가지고있는 것은 筆者도 否認하지안으나 科學의精神은 賦與된事物을冷情하게分析하야 個々의意味를 發見하는데있다 『모-든 것을 사랑하여라. 그런뒤에理解하여라』 하고말한『로멘로-랑』은 近代의科學的精神의조흔 代言者라고 생각한다.,,
,김기림,cite,요한 볼프강 폰 괴테,4,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Presumed,일즉이 『괴테』도 『두種類의 딜렛탄티즘이詩에있다 必須한機械的部分을 等閑에부치고 精神的인 事件이라던지 感情을表示만할수있으면 充分하다고 생각하는者와 藝術家의機械를獲得하야 魂도事物도없고 機械的組織에依해서만 詩에到達하려고 追求하는者다』라고 말하엿다고 한다. 文學以外의모-든領域으로부터文學에向하야干涉을시험하는『딜렛탄트』들은 모조리 前者에屬할것이여서 괴테는 그들은 藝術을害한다고 警告하엿다,,
,김기림,criticize,권구현,2,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Presumed,그속에서 白氏는 金億 權九玄 金海剛兩氏와 그러고 今日가장 各方面에서 宣傳되고있는 女流詩人毛允淑孃이 俎上에 올려노여젓다. / 事實나는 氏가 權九玄氏와 毛允淑孃의 『센티멘탈리즘』을 痛烈하게 攻擊한 것은 매우痛快하게 생각한다,,
,김기림,criticize,모윤숙,2,시평의 재비평: 딜레탕티즘에 항하여,,정성훈,Presumed,그속에서 白氏는 金億 權九玄 金海剛兩氏와 그러고 今日가장 各方面에서 宣傳되고있는 女流詩人毛允淑孃이 俎上에 올려노여젓다. / 事實나는 氏가 權九玄氏와 毛允淑孃의 『센티멘탈리즘』을 痛烈하게 攻擊한 것은 매우痛快하게 생각한다,,
,김기림,cite,미래의 생활풍경,4,상아탑의 비극 1,,유건수,confirmed,시네마는 못난이들의 놀이처다.,,
,김기림,read,스테판 말라르메,4,상아탑의 비극 1,,유건수,presumed,일찍이 말라르메 가 몽롱한 장막 의 저편에 감추어 놓은 포에시 는 현대의 대중의 지극히 현실적인 눈에서는 아마 아라비아 의 동혈 처럼 영구히 닫혀 있나 보다.,,
,김기림,cite,작시법(Art poetique),5,상아탑의 비극 4,,유건수,confirmed,베를레느 의 시론 을 잠깐 인용하자. 밝음과 어둠이 이렇게 짜내는 아슴푸레한 시보다 더 그리운 것은 없다고-. 그리고 같은 시 속에서 그것은 베일 의 그늘에 숨기는 아름다운 눈동자다 라고 노래했다.,,
,김기림,cite,문학의 진화에 대한 질문,5,상아탑의 비극 4,,유건수,confirmed,스테판 말라르메 는 주르유래 의 질의에 대하여 상징파의 신념을 토로한 회답 속에서 이렇게 말하였다. 대상을 관조 하여 그것에서 생겨나는 환상 속에에 스스로 영상이 마음에 떠올라오면 그곳이 시다 하고-.,,
,김기림,criticize,알베르 사메인,2,상아탑의 비극 4,,유건수,Suspended,그러므로 알베르 사맹 은 즐겨서 박모 를 노래하였다.,,
,김기림,cite,즉음의 기쁨,5,상아탑의 비극 5,,유건수,confirmed,상징파의 선구자의 한 사람인 보들레르 의 죽음의 기쁨 라는 아래와 같은 시를 보아라. 나는 유언을 꺼리고 분묘를 싫어한다,,
,김기림,cite,잊힌 노래(Ariettes oubliées),4,상아탑의 비극 5,,유건수,confirmed,끝이 없는 권태의 / 광야- 혹은 / 하늘은 동쇠빛 / 빛도 없다 / 숨어 있는 것같기도 하고 꺼진 것같기도 한 달빛,,
,김기림,cite,휴머니즘(L'Humanisme),4,상아탑의 비극 6,,유건수,confirmed,미를 위한 미를 찾는 자의 다음에 꿈꾸는 일의 미를 구하는 자의 뒤에 오는 것이야말로 생활의 미를 찾는 사람들이라 고 년 휴매니즘 을 못토 로 내고 나온 페르낭 그레이그 는 표명하였다.,,
,김기림,cite,악시옹(L'Action),4,상아탑의 비극 6,,유건수,confirmed,이 파의 선구자인 에밀 베르아랭 은 아크숑 이라는 시속에서 총명하게 살아라……숭고하게 살아라 하고 마치 전인류의생활행진의 선두에서 호령하는 것처럼 격렬한 어조로 노래한다느니보다 부르짖었다.,,
,김기림,cite,전일적 감정과 시,4,상아탑의 비극 6,,유건수,confirmed,나는 예술 속에서 유나니미즘 의 자리가 남아있는 것을 믿는다 고 로맹 은 말했다.,,
,김기림,cite,미래주의의 창립과 선언,2,상아탑의 비극 7,,유건수,confirmed,"우리들은 미술관을 파괴하고 도서관을 부수고 도덕, 잔잔한 것 기타의 모든 투기적 공리적 수단을 타파할 것을 요망한다…….",,
